gene_name_1,gene_name_2,co_occurrence
ATG7,ATG7,6
ATG7,LC3B,6
ATG7,BECN1,4
ATG7,SQSTM1,6
ATG7,AMBRA1,2
ATG7,PIK3C3,6
ATG7,AMPK,6
ATG7,ATG14,2
ATG7,MTORC1,6
ATG7,FOXO1,6
ATG7,ETOH,6
LC3B,LC3B,6
LC3B,BECN1,4
LC3B,SQSTM1,6
LC3B,AMBRA1,2
LC3B,PIK3C3,6
LC3B,AMPK,6
LC3B,ATG14,2
LC3B,MTORC1,6
LC3B,FOXO1,6
LC3B,ETOH,6
BECN1,BECN1,14
BECN1,SQSTM1,4
BECN1,AMBRA1,6
BECN1,PIK3C3,14
BECN1,AMPK,14
BECN1,ATG14,6
BECN1,MTORC1,14
BECN1,FOXO1,4
BECN1,ETOH,6
SQSTM1,SQSTM1,6
SQSTM1,AMBRA1,2
SQSTM1,PIK3C3,6
SQSTM1,AMPK,6
SQSTM1,ATG14,2
SQSTM1,MTORC1,6
SQSTM1,FOXO1,6
SQSTM1,ETOH,6
AMBRA1,AMBRA1,6
AMBRA1,PIK3C3,6
AMBRA1,AMPK,6
AMBRA1,ATG14,6
AMBRA1,MTORC1,6
AMBRA1,FOXO1,2
AMBRA1,ETOH,4
PIK3C3,PIK3C3,24
PIK3C3,AMPK,24
PIK3C3,ATG14,6
PIK3C3,MTORC1,24
PIK3C3,FOXO1,6
PIK3C3,ETOH,10
AMPK,AMPK,34
AMPK,ATG14,6
AMPK,MTORC1,28
AMPK,FOXO1,6
AMPK,ETOH,10
ATG14,ATG14,6
ATG14,MTORC1,6
ATG14,FOXO1,2
ATG14,ETOH,4
MTORC1,MTORC1,28
MTORC1,FOXO1,6
MTORC1,ETOH,10
FOXO1,FOXO1,6
FOXO1,ETOH,6
ETOH,ETOH,10
